lccode,worktype,collection_id
BREPR,Report,bioresource-reports
ETHESIS,Thesis,theses
ETHESIS2,Thesis,theses
GRADRES,Report,technical-reports
GRADRES2,Report,technical-reports
LIVLAB,Paper,living-lab
ESHIP,Article,faculty-pubs-article
ESHIP,Book,faculty-pubs-book
ESHIP,Presentation,faculty-pubs-presentation
ESHIP,Report,faculty-pubs-report
ESHIP,Paper,faculty-pubs-paper
ESHIP2,Article,faculty-pubs-article
ESHIP2,Book,faculty-pubs-book
ESHIP2,Presentation,faculty-pubs-presentation
ESHIP2,Report,faculty-pubs-report
ESHIP2,Paper,faculty-pubs-paper
GRADRES,Paper,grad-pub
GRADRES2,Paper,grad-pub
UGPAPER,Paper,ugrad-res-paper
UGPAPER2,Paper,ugrad-res-paper
UGRAD,Paper,ugrad-res
UGRAD2,Paper,ugrad-res
